Hotel_name,Adresse,Description,Distance,Details_Link
 Iberostar Mehari Djerba ,  Mezraya   ," L'hôtel tout compris Iberostar est situé sur l'île de Djerba, à côté de la plage de Sidi Akkour et en face du Djerba Golf Club. Il comprend 2 piscines, un spa et des courts de tennis.  ",,https://www.booking.com/hotel/tn/mehari-djerba.fr.html
 Jerba Sun Club ,  Houmt Souk   ," Situé à seulement 10 minutes d'Houmt Souk, le Jerba Sun Club est un complexe hôtelier tout compris avec un accès direct à une plage privée. Il possède des piscines, un spa et des courts de tennis.  ",,https://www.booking.com/hotel/tn/jerba-sun-club.fr.html
" Ulysse Palace & Thalasso, Adults Only - All Inclusive ",  Triffa   ," Installé à Houmt Souk, à quelques pas de la plage de Mezraya, l’Ulysse Palace & Thalasso, Adults Only - All Inclusive possède un restaurant, un parking privé gratuit, une piscine extérieure et une... ",,https://www.booking.com/hotel/tn/ulysse-palace-amp-thalasso-adults-only-all-inclusive.fr.html
 Hasdrubal Prestige Djerba ,  Triffa   ," Situé sur la plage de Sidi Mahrez à Djerba, l'Hasdrubal Prestige Thalassa & Spa Djerba vous propose un hébergement de luxe 5 étoiles, un spa et une connexion Wi-Fi gratuite.  ",,https://www.booking.com/hotel/tn/hasdrubal-prestige-djerba-djerba.fr.html
 Les Jardins de Toumana ,  Midoun   ," Une piscine extérieure, une terrasse bien exposée avec chaises longues et un restaurant sont disponibles dans cet établissement, situé à 20 minutes en voiture de l'aéroport international de Djerba.  ",,https://www.booking.com/hotel/tn/les-jardins-de-toumana.fr.html
 Hasdrubal Thalassa & Spa Djerba ,  Houmt Souk   ," Situé sur l'île de Djerba, cet hôtel 5 étoiles est à deux pas de la plage et dispose d'un spa et d'un centre de bien-être.  ",,https://www.booking.com/hotel/tn/hasdrubal-thalassa-spa-djerba.fr.html
 D'Ar Janis Djerba ,  Aghir   ," Situé à Houmt Souk, le D'Ar Janis Djerba propose des hébergements dotés d'une connexion Wi-Fi gratuite et d'une télévision à écran plat, ainsi qu'un jardin et une terrasse.  ",,https://www.booking.com/hotel/tn/appartement-djerba.fr.html
 Villa de luxe avec piscine privée sans vis à vis à Djerba ,  Ḩawmat al Badawīyīn   ," Dotée d’un jardin, d’une piscine extérieure privée, d’un bar et d’un salon commun, la Villa de luxe avec piscine privée sans vis à vis à Djerba propose un hébergement offrant une vue sur la piscine à... ",,https://www.booking.com/hotel/tn/villa-de-luxe-avec-piscine-privee-sans-vis-a-vis-a-djerba.fr.html
 Appartement Touta ,  Tarhdimess   ," Situé à Ḩawmat al Badawīyīn, à 11 km d'Erriadh, l'Appartement Touta dispose de la climatisation et d'une connexion Wi-Fi gratuite.  ",,https://www.booking.com/hotel/tn/residence-touta.fr.html
 Le Petit Palais & Spa ,  Houmt Souk   ," Situé à Tarhdimess, l'hôtel 3 étoiles Le Petit Palais & Spa dispose d'un restaurant, d'une piscine extérieure, d'un bar, d'un salon commun, d'un jardin, d'une plage privée ainsi que de chambres... ",,https://www.booking.com/hotel/tn/le-petit-palais-amp-spa.fr.html
 Dar Lola ,  Houmt Souk   ," Installé à Houmt Souk, à 8 km d'Erriadh, le Dar Lola vous propose un salon commun et une connexion Wi-Fi gratuite. Le matin, ce Bed & Breakfast sert un petit-déjeuner buffet ou continental.  ",,https://www.booking.com/hotel/tn/dar-lola-houmt-souk.fr.html
 Myriam Dreams Houmt Souk Djerba ,  Houmt Souk   ," Situé à Houmt Souk, le Myriam Dreams Houmt Souk Djerba propose un hébergement doté de la climatisation et d'une terrasse. Erriadh se trouve à 9 km. Le parking privé sur place est gratuit.  ",,https://www.booking.com/hotel/tn/myriam-dreams-houmt-souk-djerba.fr.html
 Resa Dar Sema Djerba ,  Midoun   ," Situé à Houmt Souk, à 8 km d'Erriadh, le Resa Dar Sema Djerba propose un restaurant et une connexion Wi-Fi gratuite.  ",,https://www.booking.com/hotel/tn/resa-dar.fr.html
 TUI MAGIC LIFE Penelope Beach ,  Al Ḩaddādah   ," Situé à Midoun, à 100 mètres de la plage de Mezraia, le TUI MAGIC LIFE Penelope Beach vous propose un restaurant, un parking privé gratuit, une piscine extérieure ouverte en saison et une salle de... ",,https://www.booking.com/hotel/tn/tui-magic-life-penelope-beach.fr.html
 Villa Aloha Djerba ,  Houmt Souk   ," Installée à Al Saddādah, à 21 km d'Erriadh, la Villa Aloha Djerba est un hébergement climatisé bénéficiant d'une piscine extérieure, d'un jardin et d'un casino.  ",,https://www.booking.com/hotel/tn/villa-bella-djerba.fr.html
 Hyatt stones Houmt Souk Djerba ,  Midoun   ," Situé à Houmt Souk, le Hyatt stones Houmt Souk Djerba propose un restaurant, un salon commun, un jardin et la climatisation. Il se trouve à 9 km d’Erriadh.  ",,https://www.booking.com/hotel/tn/hyatt-stones-houmt-souk-djerba.fr.html
 Maison Leila ,  Houmt Souk   ," Située sur la route de Midoun-Houmt Souk, la Maison Leila se trouve à seulement 2,5 km de Midoun, face au musée de la célèbre mosquée Fadhloun.  ",,https://www.booking.com/hotel/tn/maison-leila.fr.html
 Maison de charme ,  Midoun   ," Située à 1,2 km de la plage de Mezraia, la maison de vacances Maison de charme vous propose une piscine extérieure, un jardin et une réception ouverte 24h/24.  ",,https://www.booking.com/hotel/tn/maison-de-charme-djerba.fr.html
 Vincci Helios Beach ,  Aghir   ," Cet hôtel Vincci tout compris est situé sur la côte ouest de l'île de Djerba, dans le sud de la Tunisie.  ",,https://www.booking.com/hotel/tn/vincci-helios-beach.fr.html
 Menzel Churasco Djerba ,  Midoun   ," Doté d’une piscine extérieure et d’un salon commun, le Menzel Churasco Djerba propose des hébergements avec une terrasse ou un balcon, une télévision et une connexion Wi-Fi gratuite à Aghir.  ",,https://www.booking.com/hotel/tn/menzel-churasco-djerba.fr.html
 Djerba Golf Resort & Spa ,  Midoun   ," Situé à 200 mètres de la plage de Sidi Mahrez, le Djerba Golf Resort & Spa possède un restaurant, une piscine extérieure, un bar et un salon commun.  ",,https://www.booking.com/hotel/tn/sprinclub-djerba-golf-amp-spa.fr.html
 Djerbahouch ,  Mezraya   ," Situé à Midoun, le Djerbahouch propose des hébergements, une piscine extérieure, un jardin et un casino.  ",,https://www.booking.com/hotel/tn/djerbahouch-midoun.fr.html
